index,pcode,mfg,racquet,headsize,length,weight,balance,swingweight,flex,acor,sweet,rccode,current,twistweight,hittingweight,vibration,filter,distance,spin,angle,shotspeed,swingspeed,plow,time
324,T305R,Tecnifibre,ATP TFight 305 XTC,98,27.0,323,33.5,329,65,0.32,17.2,RCTFUSA,x,14.9,134,144,21/2-effort,66.3,1506,2.9,66.4,49.2,43,0.83
326,HRGP,Head,Graphene 360+ Gravity Pro 2021,100,27.0,332,32.4,332,62,0.32,17.2,RCHEAD,x,14.5,134,138,21/2-effort,66.2,1505,2.9,66.4,49.2,43,0.83
329,305KIX,ProKennex,Ki 10 (305) - 2018,100,27.0,320,33.0,330,70,0.323,17.6,RCPK,x,15.4,136,158,21/2-effort,66.4,1510,2.9,66.7,49.3,43,0.83
330,PPP10,Prince,Phantom 100P,100,27.0,326,32.5,328,59,0.323,17.7,RCTWABG,x,15.6,135,135,21/2-effort,66.5,1512,2.9,66.8,49.4,43,0.83
334,PRCTSY,Prince,CTS Synergy DB26,97,27.0,346,32.0,326,65,0.322,17.3,RCTWABG,x,15.8,135,151,21/2-effort,66.3,1506,2.9,66.5,49.2,43,0.83
335,PP100X,Prince,Phantom O3 100X,100,27.0,326,32.0,325,60,0.321,17.4,RCTWABG,x,15.8,135,135,21/2-effort,66.7,1519,2.9,66.8,49.6,43,0.83
336,B1HSCV,Wilson,Burn 100 S Countervail,100,27.0,324,33.3,324,71,0.321,17.2,RCWILSON,x,15.9,135,159,21/2-effort,66.5,1512,2.9,66.6,49.4,43,0.83
337,BL104,Wilson,Blade 104,104,27.5,310,33.2,323,65,0.322,17.3,RCWILSON,x,16.3,135,144,21/2-effort,66.8,1523,2.8,67.0,49.6,43,0.83
341,BRPDT,Babolat,Pure Drive Tour 2021,100,27.0,335,32.5,326,70,0.321,17.3,RCBABOLAT,x,15.5,135,156,21/2-effort,66.4,1509,2.9,66.5,49.3,43,0.83
345,TF4005,Tecnifibre,TF40 305,98,27.0,320,33.3,326,64,0.315,16.9,RCTFUSA,x,14.5,133,143,21/2-effort,66.4,1512,3.0,66.2,49.4,43,0.83
349,20BV8S,Wilson,Blade 18x20 v8,98,27.0,323,33.0,327,60,0.315,17.0,RCWILSON,x,14.4,133,135,21/2-effort,66.4,1511,3.0,66.2,49.4,43,0.83
351,PP93P,Prince,Phantom 93P (18x20),93,27.0,346,31.5,329,60,0.314,17.0,RCTWABG,x,13.9,132,135,21/2-effort,66.2,1506,3.0,66.0,49.3,42,0.83
361,PVRTX,Prince,Vortex 300g,100,27.0,318,32.5,321,65,0.317,16.9,RCTWABG,x,15.7,133,148,21/2-effort,66.8,1525,2.9,66.7,49.7,42,0.83
362,LM8,Head,Liquid Metal 8 OS,112,27.25,280,36.2,322,63,0.319,16.2,RCHEAD,x,14.7,132,143,21/2-effort,66.8,1524,2.9,66.8,49.7,42,0.83
364,MXG7,Head,MxG7,115,27.6,281,37.0,318,69,0.32,16.7,RCHEAD,x,17.0,134,159,21/2-effort,66.8,1523,2.9,66.9,49.6,43,0.83
365,VS2,Volkl,V-Sense 2,115,27.6,284,35.5,316,69,0.32,17.0,RCVOLKL,x,17.2,134,166,21/2-effort,67.1,1533,2.9,67.1,49.9,43,0.83
366,L105,Prince,Lightning 105,105,27.25,289,36.0,317,70,0.315,16.5,RCPRINCE,x,16.0,133,160,21/2-effort,66.8,1525,2.9,66.6,49.7,43,0.83
370,YRE100,Yonex,Regna 100,100,27.0,312,33.5,318,65,0.307,16.2,RCYONEX,x,14.4,130,143,21/2-effort,66.7,1525,3.0,66.1,49.7,42,0.84
376,DS400R,Dunlop,CX 400,100,27.0,303,34.0,319,71,0.309,16.3,RCDUNLOP,x,14.6,131,157,21/2-effort,66.8,1526,3.0,66.2,49.7,42,0.84
379,260KI,ProKennex,Ki 15 (260) - 2018,105,27.5,275,34.8,316,70,0.305,16.0,RCPK,x,14.6,129,168,21/2-effort,67.4,1544,3.0,66.4,50.1,41,0.84
386,WRC10SI,Wilson,Clash 100 Silver,100,27.0,312,32.0,312,55,0.301,15.1,RCWILSON,x,14.6,128,121,21/2-effort,67.3,1543,3.1,66.1,50.1,41,0.85
393,GTSS,Head,Graphene Touch Speed S,100,27.0,304,33.5,308,68,0.299,14.8,RCHEAD,x,14.8,128,154,21/2-effort,67.2,1542,3.1,66.0,50.1,41,0.85
395,BPD110,Babolat,Pure Drive 110 (2018),110,27.6,272,34.0,305,69,0.295,15.0,RCBABOLAT,x,14.9,126,164,21/2-effort,67.9,1565,3.1,66.3,50.6,41,0.85
398,VS6,Volkl,V-Sense 6,100,27.0,289,34.3,307,71,0.289,14.3,RCVOLKL,x,13.4,124,160,21/2-effort,67.3,1548,3.2,65.5,50.2,40,0.86
399,VCR98L,Yonex,VCORE 98L,98,27.0,301,33.0,307,65,0.291,14.5,RCYONEX,x,13.7,125,148,21/2-effort,67.4,1549,3.2,65.6,50.3,40,0.86
401,GXSP,Head,Graphene XT Speed Pro,100,27.0,329,31.8,311,68,0.293,14.9,RCHEAD,x,13.4,126,147,21/2-effort,66.9,1535,3.2,65.4,49.9,41,0.85
406,H3SSMA,Head,Graphene 360+ Speed S,100,27.0,301,33.0,307,69,0.292,14.8,RCHEAD,x,13.9,125,153,21/2-effort,67.4,1549,3.2,65.7,50.3,40,0.85
407,ACE27,Yonex,EZONE Ace,102,27.0,275,35.2,307,67,0.293,14.6,RCYONEX,x,14.1,126,152,21/2-effort,67.5,1552,3.2,65.9,50.3,41,0.85
411,VSV1MP,Volkl,V-Sense V1 MP,102,27.0,300,33.1,298,67,0.287,13.5,RCVOLKL,x,14.6,124,154,21/2-effort,67.7,1560,3.3,65.7,50.5,40,0.86
436,VF10L,Volkl,V-Feel 10 (300g),98,27.0,318,33.5,312,69,0.299,15.1,RCVOLKL,x,14.2,127,158,21/2-effort,66.8,1528,3.1,65.6,49.8,41,0.85
439,BS031H,Prince,Textreme Beast O3 100,100,27.0,318,33.0,315,69,0.308,16.0,RCTWABG,x,15.1,130,166,21/2-effort,66.9,1528,3.0,66.2,49.8,42,0.84
449,TRTFIG,Tecnifibre,TFight 295 RS,100,27.0,312,33.5,318,70,0.307,15.9,RCTFUSA,x,14.5,130,156,21/2-effort,66.7,1525,3.0,66.1,49.7,42,0.84
462,HG3RP,Head,Graphene 360 Radical Pro,98,27.0,326,32.4,325,68,0.31,16.5,RCHEAD,x,14.0,131,160,21/2-effort,66.5,1516,3.0,66.0,49.5,42,0.84
469,BPDTP,Babolat,Pure Drive Tour Plus (2018),100,27.5,332,32.5,328,71,0.314,16.8,RCBABOLAT,x,14.1,132,162,21/2-effort,66.3,1508,3.0,66.1,49.3,42,0.83
488,TREBIG,Tecnifibre,TRebound 298 IGA,98,27.0,312,33.0,319,71,0.311,16.3,RCTFUSA,x,15.0,131,159,21/2-effort,66.9,1527,3.0,66.4,49.8,42,0.84
